date, pm25, pm10, o3, no2, so2, co
11/08/2021,39,15,17,19, ,6
10/08/2021,44,16,27,24, ,7
09/08/2021,34,16,25,18, ,9
08/08/2021,33,15,18,17, ,6
07/08/2021,31,16,23,15, ,6
06/08/2021,35,11,26,16, ,6
05/08/2021,48,12,22,6, ,6
04/08/2021,52,12,30,7, ,5
03/08/2021,44,15,29,13, ,6
02/08/2021,28,12,31,10, ,6
01/08/2021,27,11,25,10,1,5
31/07/2021,31,11,22,11, ,4
30/07/2021,30,10,24,19,1,4
29/07/2021,36,16,20,16,1,5
28/07/2021,40,17,23,20,1,5
27/07/2021,43,12,20,9,1,3
26/07/2021,65,16,31,20,1,3
25/07/2021,69,32,38,20,1,1
24/07/2021,66,26,24,18, ,2
23/07/2021,46,28,31,16, ,2
22/07/2021,73,14,29,13, ,3
21/07/2021,75,28,33,18, ,4
20/07/2021,56,32,47,29, ,4
19/07/2021,49,30,45,26, ,4
18/07/2021,41,24,42,23, ,5
17/07/2021,37,21,42,19, ,4
16/07/2021,39,14,30,12, ,4
15/07/2021,35,17,28,16, ,4
14/07/2021,44,10,18,18, ,3
13/07/2021,50,14,25,21, ,4
12/07/2021,45,17,23,22, ,3
11/07/2021,48,13,12,24, ,4
10/07/2021,46,17,13,18, ,5
09/07/2021,38,16,11,23, ,5
08/07/2021,29,17,26,28, ,7
07/07/2021,29,15,23,26,1,6
06/07/2021,33,16,23,12,2,1
05/07/2021,37,14,21,6,3,1
04/07/2021,35,16,26,7,3,4
03/07/2021,49,12,22,4,2,10
02/07/2021,70,17,25,8,1,10
01/07/2021,57,25,34,19,2,10
30/06/2021,36,20,30,24,4,6
29/06/2021,50,15,22,23, ,1
28/06/2021,50,22,12,25, ,1
27/06/2021,54,18,21,18, ,1
26/06/2021,42,21,30,15, ,1
25/06/2021,43,18,29,18, ,1
24/06/2021,39,16,27,20,1,1
23/06/2021,49,24,22,22,1,1
22/06/2021,36,15,35,22, ,1
21/06/2021,34,15,27,14, ,1
20/06/2021,43,13,25,14,1,1
19/06/2021,51,14,20,12, ,1
18/06/2021,51,15,21,16, ,1
17/06/2021,57,16,21,20, ,1
16/06/2021,52,21,21,18, ,1
15/06/2021,40,24,38,26,1, 
14/06/2021,46,17,20,15,1, 
13/06/2021,42,14,28,16, , 
12/06/2021,36,19,40,17, , 
11/06/2021,42,13,33,10, , 
10/06/2021,39,15,21,14, , 
09/06/2021,42,19,18,15,1, 
08/06/2021,46,21,35,22,1, 
07/06/2021,50,19,37,23, , 
06/06/2021,50,19,27,18, , 
05/06/2021,62,17,23,17, ,1
04/06/2021,53,20,40,21, ,1
03/06/2021,70,21,18,29, ,1
02/06/2021,73,30,36,23,1,1
01/06/2021,71,30,52,30,4,1
31/05/2021,70,26,54,22,3, 
30/05/2021,65,26,42,16,3, 
29/05/2021,69,23,35,13,3, 
28/05/2021,60,25,38,20,4,1
27/05/2021,47,25,30,34,4,1
26/05/2021,40,17,36,28,3,2
25/05/2021,41,16,30,23,3,3
24/05/2021,34,17,23,23,2,2
23/05/2021,34,15,27,25,2,2
22/05/2021,39,14,34,18,3,1
21/05/2021,48,13,27,20,3,3
20/05/2021,43,22,30,20,2,1
19/05/2021,37,23,30,23,1,1
18/05/2021,43,17,30,22,1,4
17/05/2021,40,20,25,26,2,1
16/05/2021,25,15,25,25,1,3
15/05/2021,41,15,28,18,1,1
14/05/2021,63,18,30,25,1,1
13/05/2021,56,15,30,23,1,1
12/05/2021,61,18,24,29,1, 
11/05/2021,45,19,35,25,1,2
10/05/2021,42,18,37,25,2,1
09/05/2021,25,15,30,20,1,1
08/05/2021,29,14,18,14, , 
07/05/2021,24,16,25,13, ,1
06/05/2021,24,19,32,24,7,5
05/05/2021,20,15,29,24,7,6
04/05/2021,27,14,27,22,2,5
03/05/2021,25,15,32,17,2,2
02/05/2021,42,19,40,14,1,2
01/05/2021,37,22,36,19,1,3
30/04/2021,36,21,37,23,1,2
29/04/2021,43,20,35,29,1,3
28/04/2021,62,21,32,24,2,4
27/04/2021,63,33,39,24,2,8
26/04/2021,37,29,34,33,1,10
25/04/2021,47,16,35,16,1,9
24/04/2021,58,19,35,13, ,7
23/04/2021,52,24,39,23,1,8
22/04/2021,54,24,29,30,1,9
21/04/2021,137,26,29,25,1,9
20/04/2021,76,54,30,31,1,8
19/04/2021,52,43,27,36,1,7
18/04/2021,35,35,33,33,1,6
17/04/2021,31,19,31,22, ,10
16/04/2021,33,17,31,21, ,10
15/04/2021,33,19,34,26, ,9
14/04/2021,60,17,31,21, ,8
13/04/2021,68,26,34,26, ,8
12/04/2021,53,30,28,39,2,12
11/04/2021,42,20,30,27,1,11
10/04/2021,45,13,32,16, ,9
09/04/2021,46,17,29,18, ,8
08/04/2021,42,19,30,23,2,9
07/04/2021,41,24,28,23,2,10
06/04/2021,32,19,28,23, ,10
05/04/2021,53,14,29,14, ,10
04/04/2021,55,21,32,16, ,9
03/04/2021,42,24,36,15, ,8
02/04/2021,37,17,35,7, ,7
01/04/2021,68,16,33,9, ,7
31/03/2021,99,35,29,17,1,5
30/03/2021,74,51,23,50,2,2
29/03/2021,49,36,40,44,1,2
28/03/2021,44,26,33,26, , 
27/03/2021,38,22,34,12, , 
26/03/2021,38,23,32,18, , 
25/03/2021,47,18,30,24, , 
24/03/2021,74,21,31,27,1, 
23/03/2021,70,38,26,28, , 
22/03/2021,68,30,29,30,1,1
