kyrsBP,InsolationJune65N
1468,476.566612
1469,469.055142
1470,461.675995
1471,455.320603
1472,450.42091
1473,447.485376
1474,446.813803
1475,448.567878
1476,452.46036
1477,458.568897
1478,466.320882
1479,475.317028
1480,485.072911
1481,494.893408
1482,503.913699
1483,511.445816
1484,516.247544
1485,517.308266
1486,513.900563
1487,505.495117
1488,492.662827
1489,476.810217
1490,459.776597
1491,443.786134
1492,430.607596
1493,421.494251
1494,416.941187
1495,417.162021
1496,421.657564
1497,430.018362
1498,441.460296
1499,455.29873
1500,470.606816
1501,486.703278
1502,502.539079
1503,517.177063
1504,529.447839
1505,537.944061
1506,541.321982
1507,538.697324
1508,529.723111
1509,515.354577
1510,497.580879
1511,478.729931
1512,461.260863
1513,447.011695
1514,436.942029
1515,431.477792
1516,430.462497
1517,433.356468
1518,439.550373
